"slug","url","title","title_len","description","description_len","has_og_image","has_jsonld"
"3-reas-onde-a-automao-gera-reduo-de-custos-real-nas-empresas-em-2026","https://www.doutorsaullo.com.br/blog/3-reas-onde-a-automao-gera-reduo-de-custos-real-nas-empresas-em-2026","3 Áreas onde a Automação gera Redução de Custos real nas empresas em 2026","73","3 Áreas onde a Automação gera Redução de Custos real nas empresas em 2026","73","yes","yes"
"a-cincia-da-primeira-impresso-o-impacto-do-acolhimento-digital-profissional","https://www.doutorsaullo.com.br/blog/a-cincia-da-primeira-impresso-o-impacto-do-acolhimento-digital-profissional","A Ciência da Primeira Impressão: O Impacto do Acolhimento Digital Profissional","78","A Ciência da Primeira Impressão: O Impacto do Acolhimento Digital Profissional","78","yes","yes"
"a-mina-de-ouro-invisvel-o-poder-da-reteno-e-fidelizao-de-pacientes","https://www.doutorsaullo.com.br/blog/a-mina-de-ouro-invisvel-o-poder-da-reteno-e-fidelizao-de-pacientes","A Mina de Ouro Invisível: O Poder da Retenção e Fidelização de Pacientes","72","A Mina de Ouro Invisível: O Poder da Retenção e Fidelização de Pacientes","72","yes","yes"
"agro-braga-2026-tecnologia-agrcola-rastreabilidade-e-o-futuro-da-produo-no-brasil-e-portugal","https://www.doutorsaullo.com.br/blog/agro-braga-2026-tecnologia-agrcola-rastreabilidade-e-o-futuro-da-produo-no-brasil-e-portugal","Agro Braga 2026: Tecnologia Agrícola, Rastreabilidade e o Futuro da Produção no Brasil e Portugal","97","Agro Braga 2026: Tecnologia Agrícola, Rastreabilidade e o Futuro da Produção no Brasil e Portugal","97","yes","yes"
"alm-do-consultrio-como-construir-autoridade-digital-e-valorizar-sua-hora","https://www.doutorsaullo.com.br/blog/alm-do-consultrio-como-construir-autoridade-digital-e-valorizar-sua-hora","Além do Consultório: Como Construir Autoridade Digital e Valorizar sua Hora","75","Além do Consultório: Como Construir Autoridade Digital e Valorizar sua Hora","75","yes","yes"
"automao-de-processos-empresariais-como-reduzir-custos-e-multiplicar-a-produtividade-da-sua-empresa","https://www.doutorsaullo.com.br/blog/automao-de-processos-empresariais-como-reduzir-custos-e-multiplicar-a-produtividade-da-sua-empresa","Automação de Processos Empresariais: Como Reduzir Custos e Multiplicar a Produtividade da Sua Empresa","101","Automação de Processos Empresariais: Como Reduzir Custos e Multiplicar a Produtividade da Sua Empresa","101","yes","yes"
"automao-de-processos-para-reduo-de-custos-e-aumento-de-lucro-nas-empresas","https://www.doutorsaullo.com.br/blog/automao-de-processos-para-reduo-de-custos-e-aumento-de-lucro-nas-empresas","Automação de Processos para Redução de Custos e Aumento de Lucro nas Empresas","77","Automação de Processos para Redução de Custos e Aumento de Lucro nas Empresas","77","yes","yes"
"automao-industrial-para-empresas-pare-de-perder-dinheiro-com-processos-manuais","https://www.doutorsaullo.com.br/blog/automao-industrial-para-empresas-pare-de-perder-dinheiro-com-processos-manuais","Automação Industrial para Empresas: pare de perder dinheiro com processos manuais","81","Automação Industrial para Empresas: pare de perder dinheiro com processos manuais","81","yes","yes"
"big-data-ou-grande-desperdcio-o-guia-para-transformar-dados-em-lucro-real-na-sua-fazenda-mesmo-que-ela-seja-pequena","https://www.doutorsaullo.com.br/blog/big-data-ou-grande-desperdcio-o-guia-para-transformar-dados-em-lucro-real-na-sua-fazenda-mesmo-que-ela-seja-pequena","Big Data ou Grande Desperdício? O Guia para Transformar Dados em Lucro Real na Sua Fazenda (Mesmo que Ela Seja Pequena)","119","Big Data ou Grande Desperdício? O Guia para Transformar Dados em Lucro Real na Sua Fazenda (Mesmo que Ela Seja Pequena)","119","yes","yes"
"cansao-excessivo-descubra-como-recuperar-sua-energia-naturalmente","https://www.doutorsaullo.com.br/blog/cansao-excessivo-descubra-como-recuperar-sua-energia-naturalmente","Cansaço Excessivo? Descubra Como Recuperar Sua Energia Naturalmente","67","Cansaço Excessivo? Descubra Como Recuperar Sua Energia Naturalmente body { font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, Oxygen, Ubuntu, s","170","yes","yes"
"como-a-agricultura-de-preciso-transforma-dados-em-lucro-real","https://www.doutorsaullo.com.br/blog/como-a-agricultura-de-preciso-transforma-dados-em-lucro-real","Como a Agricultura de Precisão Transforma Dados em Lucro Real","61","Sua Fazenda Está Deixando Dinheiro no Chão? Como a Agricultura de Precisão Transforma Dados em Lucro Real","105","yes","yes"
"como-a-inteligncia-artificial-est-transformando-pequenas-e-mdias-empresas-em-2026","https://www.doutorsaullo.com.br/blog/como-a-inteligncia-artificial-est-transformando-pequenas-e-mdias-empresas-em-2026","Como a Inteligência Artificial Está Transformando Pequenas e Médias Empresas em 2026","84","Se você é dono de uma pequena ou média empresa, provavelmente já ouviu falar sobre inteligência artificial, automação e ferramentas digitais. Mas aqui vai a ver","160","yes","yes"
"como-automatizar-processos-financeiros-e-economizar-horas-de-trabalho-por-semana","https://www.doutorsaullo.com.br/blog/como-automatizar-processos-financeiros-e-economizar-horas-de-trabalho-por-semana","Como Automatizar Processos Financeiros e Economizar Horas de Trabalho por Semana","80","Como Automatizar Processos Financeiros e Economizar Horas de Trabalho por Semana","80","yes","yes"
"como-integrar-sistemas-da-empresa-erp-vendas-e-atendimento-sem-complicar","https://www.doutorsaullo.com.br/blog/como-integrar-sistemas-da-empresa-erp-vendas-e-atendimento-sem-complicar","Como Integrar Sistemas da Empresa (ERP, Vendas e Atendimento) Sem Complicar","75","Como Integrar Sistemas da Empresa (ERP, Vendas e Atendimento) Sem Complicar","75","yes","yes"
"como-manter-a-presena-digital-sem-sacrificar-o-tempo-de-atendimento","https://www.doutorsaullo.com.br/blog/como-manter-a-presena-digital-sem-sacrificar-o-tempo-de-atendimento","Como Manter a Presença Digital sem Sacrificar o Tempo de Atendimento","68","Como Manter a Presença Digital sem Sacrificar o Tempo de Atendimento","68","yes","yes"
"como-supermercados-esto-perdendo-margem-no-hortifruti-sem-perceber","https://www.doutorsaullo.com.br/blog/como-supermercados-esto-perdendo-margem-no-hortifruti-sem-perceber","Como Supermercados Estão Perdendo Margem no Hortifruti Sem Perceber","67","Como Supermercados Estão Perdendo Margem no Hortifruti Sem Perceber","67","yes","yes"
"compra-direta-do-produtor-quanto-d-pra-economizar-de-verdade","https://www.doutorsaullo.com.br/blog/compra-direta-do-produtor-quanto-d-pra-economizar-de-verdade","Compra Direta do Produtor: Quanto Dá Pra Economizar de Verdade?","63","Compra Direta do Produtor: Quanto Dá Pra Economizar de Verdade?","63","yes","yes"
"curso-de-automao-industrial-como-entrar-na-rea-e-aproveitar-o-crescimento-do-mercado","https://www.doutorsaullo.com.br/blog/curso-de-automao-industrial-como-entrar-na-rea-e-aproveitar-o-crescimento-do-mercado","Curso de Automação Industrial: como entrar na área e aproveitar o crescimento do mercado","88","Curso de Automação Industrial: como entrar na área e aproveitar o crescimento do mercado","88","yes","yes"
"descubra-o-fenmeno-do-trabalho-remoto-e-conhea-os-pases-que-pagam-para-voc-morar-la","https://www.doutorsaullo.com.br/blog/descubra-o-fenmeno-do-trabalho-remoto-e-conhea-os-pases-que-pagam-para-voc-morar-la","Descubra o fenômeno do trabalho remoto e conheça os países que pagam para você morar lá.","88","Descubra o fenômeno do trabalho remoto e conheça os países que pagam para você morar lá. Explore incentivos, vistos para nômades digitais e qualidade de vida","157","yes","yes"
"drones-no-agro-o-guia-real-para-voc-lucrar-de-verdade-e-parar-de-sustentar-brinquedo-caro","https://www.doutorsaullo.com.br/blog/drones-no-agro-o-guia-real-para-voc-lucrar-de-verdade-e-parar-de-sustentar-brinquedo-caro","Drones no Agro: O Guia Real para Você Lucrar de Verdade e Parar de Sustentar &quot;Brinquedo Caro&quot;","103","Drones no Agro: O Guia Real para Você Lucrar de Verdade e Parar de Sustentar &quot;Brinquedo Caro&quot;","103","yes","yes"
"guia-completo-sobre-sade-mental-produtividade-e-desintoxicao-digital","https://www.doutorsaullo.com.br/blog/guia-completo-sobre-sade-mental-produtividade-e-desintoxicao-digital","Guia completo sobre saúde mental, produtividade e desintoxicação digital.","73","Descubra por que o minimalismo digital está levando milhares de pessoas a abandonar as redes sociais. Guia completo sobre saúde mental, produtividade e desintox","160","yes","yes"
"ia-agntica-a-revoluo-dos-sistemas-multiagentes-que-domina-2026","https://www.doutorsaullo.com.br/blog/ia-agntica-a-revoluo-dos-sistemas-multiagentes-que-domina-2026","IA Agêntica: A Revolução dos Sistemas Multiagentes que Domina 2026","66","IA Agêntica: A Revolução dos Sistemas Multiagentes que Domina 2026","66","yes","yes"
"impacto-revolucionrio-da-inteligncia-artificial-nas-eleies-de-2026","https://www.doutorsaullo.com.br/blog/impacto-revolucionrio-da-inteligncia-artificial-nas-eleies-de-2026"," Impacto Revolucionário da Inteligência Artificial nas Eleições de 2026","71","Impacto Revolucionário da Inteligência Artificial nas Eleições de 2026","70","yes","yes"
"integrao-de-sistemas-e-dados-o-caminho-para-decises-estratgicas-em-tempo-real","https://www.doutorsaullo.com.br/blog/integrao-de-sistemas-e-dados-o-caminho-para-decises-estratgicas-em-tempo-real","Integração de Sistemas e Dados: O Caminho para Decisões Estratégicas em Tempo Real","82","Integração de Sistemas e Dados: O Ecossistema da Decisão Estratégica em Tempo Real","82","yes","yes"
"inteligncia-artificial-est-substituindo-empregos-ou-criando-novos","https://www.doutorsaullo.com.br/blog/inteligncia-artificial-est-substituindo-empregos-ou-criando-novos","Inteligência Artificial está substituindo empregos ou criando novos?","68","Inteligência Artificial está substituindo empregos ou criando novos?","68","yes","yes"
"isso-aqui-no-era-pra-eu-postar-sobre-automao-com-ia-mas-pode-fazer-sua-empresa-faturar-mais","https://www.doutorsaullo.com.br/blog/isso-aqui-no-era-pra-eu-postar-sobre-automao-com-ia-mas-pode-fazer-sua-empresa-faturar-mais","Isso aqui NÃO era pra eu postar sobre Automação com IA… mas pode fazer sua empresa faturar mais","95","Isso aqui NÃO era pra eu postar sobre Automação com IA… mas pode fazer sua empresa faturar mais","95","yes","yes"
"monetizao-digital-com-contedo-e-funis-automatizados-como-transformar-ateno-em-dinheiro-de-forma-escalvel","https://www.doutorsaullo.com.br/blog/monetizao-digital-com-contedo-e-funis-automatizados-como-transformar-ateno-em-dinheiro-de-forma-escalvel","Monetização Digital com Conteúdo e Funis Automatizados: Como Transformar Atenção em Dinheiro de Forma Escalável","111","Monetização Digital com Conteúdo e Funis Automatizados: Como Transformar Atenção em Dinheiro de Forma Escalável","111","yes","yes"
"o-custo-do-silncio-como-reduzir-faltas-e-valorizar-sua-agenda","https://www.doutorsaullo.com.br/blog/o-custo-do-silncio-como-reduzir-faltas-e-valorizar-sua-agenda","O Custo do Silêncio: Como Reduzir Faltas e Valorizar sua Agenda","63","O Custo do Silêncio: Como Reduzir Faltas e Valorizar sua Agenda","63","yes","yes"
"o-erro-invisvel-no-planejamento-de-estoque-que-faz-voc-perder-dinheiro-no-hortifruti","https://www.doutorsaullo.com.br/blog/o-erro-invisvel-no-planejamento-de-estoque-que-faz-voc-perder-dinheiro-no-hortifruti","O Erro Invisível no Planejamento de Estoque que Faz Você Perder Dinheiro no Hortifruti","86","O Erro Invisível no Planejamento de Estoque que Faz Você Perder Dinheiro no Hortifruti","86","yes","yes"
"o-mercado-quer-que-voc-continue-queimando-dinheiro-a-verdade-nua-sobre-trfego-pago-e-funis","https://www.doutorsaullo.com.br/blog/o-mercado-quer-que-voc-continue-queimando-dinheiro-a-verdade-nua-sobre-trfego-pago-e-funis","O mercado quer que você continue queimando dinheiro: A verdade nua sobre Tráfego Pago e Funis","93","O mercado quer que você continue queimando dinheiro: A verdade nua sobre Tráfego Pago e Funis","93","yes","yes"
"o-segredo-das-agrotechs-como-pequenos-produtores-esto-usando-tecnologia-para-esmagar-custos-e-vencer-gigantes","https://www.doutorsaullo.com.br/blog/o-segredo-das-agrotechs-como-pequenos-produtores-esto-usando-tecnologia-para-esmagar-custos-e-vencer-gigantes","O Segredo das Agrotechs: Como Pequenos Produtores Estão Usando Tecnologia para Esmagar Custos e Vencer Gigantes","111","O Segredo das Agrotechs: Como Pequenos Produtores Estão Usando Tecnologia para Esmagar Custos e Vencer Gigantes","111","yes","yes"
"sistemas-vs-planilhas-por-que-a-gesto-manual-est-custando-caro-para-o-seu-negcio","https://www.doutorsaullo.com.br/blog/sistemas-vs-planilhas-por-que-a-gesto-manual-est-custando-caro-para-o-seu-negcio","Sistemas vs. Planilhas: Por que a gestão manual está custando caro para o seu negócio?","86","Sistemas vs. Planilhas: Por que a gestão manual está custando caro para o seu negócio?","86","yes","yes"
"sua-fazenda-est-deixando-dinheiro-no-cho-como-a-ia-virou-o-jogo-da-lucratividade-no-brasil","https://www.doutorsaullo.com.br/blog/sua-fazenda-est-deixando-dinheiro-no-cho-como-a-ia-virou-o-jogo-da-lucratividade-no-brasil","Sua Fazenda Está Deixando Dinheiro no Chão? Como a IA Virou o Jogo da Lucratividade no Brasil","93","Sua Fazenda Está Deixando Dinheiro no Chão? Como a IA Virou o Jogo da Lucratividade no Brasil","93","yes","yes"
"tecnologia-em-automao-industrial-o-guia-completo-para-entender-e-entrar-no-mercado","https://www.doutorsaullo.com.br/blog/tecnologia-em-automao-industrial-o-guia-completo-para-entender-e-entrar-no-mercado","Tecnologia em Automação Industrial: o guia completo para entender e entrar no mercado","85","Tecnologia em Automação Industrial: o guia completo para entender e entrar no mercado","85","yes","yes"
"tendencias-de-tecnologia-em-2026","https://www.doutorsaullo.com.br/blog/tendencias-de-tecnologia-em-2026","Tendências de Tecnologia em 2026","32","Tendências de Tecnologia em 2026: Inteligência Artificial, Automação e o Futuro Digital","87","yes","yes"
